title,image,score,media_type,genres,category,is_winner
Nige Jouzu no Wakagimi,https://cdn.myanimelist.net/images/anime/1386/140401l.jpg,7.8,tv,"Adventure, Comedy, Historical, Samurai, Shounen",Best Ending Sequence,False
Kaijuu 8-gou Movie,https://cdn.myanimelist.net/images/anime/1127/146604l.webp,6.94,movie,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Shounen, Urban Fantasy",Best Ending Sequence,False
Ore dake Level Up na Ken,https://cdn.myanimelist.net/images/anime/1801/142390l.jpg,8.27,tv,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",Best Ending Sequence,True
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Ending Sequence,False
Bleach: Sennen Kessen-hen - Soukoku-tan,https://cdn.myanimelist.net/images/anime/1595/144074l.webp,8.67,tv,"Action, Adventure, Shounen, Supernatural",Best Action,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Action,False
Kimetsu no Yaiba: Hashira Geiko-hen,https://cdn.myanimelist.net/images/anime/1565/142711l.jpg,8.09,tv,"Action, Historical, Shounen, Supernatural",Best Action,False
Kaijuu 8-gou Movie,https://cdn.myanimelist.net/images/anime/1127/146604l.webp,6.94,movie,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Shounen, Urban Fantasy",Best Action,False
Ore dake Level Up na Ken,https://cdn.myanimelist.net/images/anime/1801/142390l.jpg,8.27,tv,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",Best Action,True
Wind Breaker,https://cdn.myanimelist.net/images/anime/1438/141816l.webp,7.74,tv,"Action, Delinquents, School",Best Action,False
Dungeon Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.webp,8.6,tv,"Adventure, Comedy, Fantasy, Gourmet, Seinen",Best Comedy,False
Kono Subarashii Sekai ni Shukufuku wo! 3,https://cdn.myanimelist.net/images/anime/1758/141268l.webp,8.35,tv,"Adventure, Comedy, Fantasy, Isekai, Parody",Best Comedy,False
Mashle,https://cdn.myanimelist.net/images/anime/1218/135107l.jpg,7.62,tv,"Action, Comedy, Fantasy, Gag Humor, Parody, School, Shounen",Best Comedy,True
Shikanoko Nokonoko Koshitantan,https://cdn.myanimelist.net/images/anime/1094/143324l.jpg,6.99,tv,"Comedy, Gag Humor, School, Shounen",Best Comedy,False
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,https://cdn.myanimelist.net/images/anime/13/76023l.webp,7.23,movie,"Adventure, Comedy, Magical Sex Shift, Shounen",Best Comedy,False
Spy x Family Season 2,https://cdn.myanimelist.net/images/anime/1506/138982l.webp,8.06,tv,"Action, Childcare, Comedy, Shounen, Super Power",Best Comedy,False
Kono Subarashii Sekai ni Shukufuku wo! 3,https://cdn.myanimelist.net/images/anime/1758/141268l.webp,8.35,tv,"Adventure, Comedy, Fantasy, Isekai, Parody",Best Isekai Anime,False
Mushoku Tensei: Isekai Ittara Honki Dasu,https://cdn.myanimelist.net/images/anime/1530/117776l.webp,8.35,tv,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation",Best Isekai Anime,False
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,https://cdn.myanimelist.net/images/anime/1599/106827l.webp,7.56,movie,Fantasy,Best Isekai Anime,True
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",https://cdn.myanimelist.net/images/anime/1500/139931l.jpg,8.1,tv,"Action, Adventure, Fantasy, Shounen, Video Game",Best Isekai Anime,False
Isekai Suicide Squad,https://cdn.myanimelist.net/images/anime/1644/142052l.jpg,6.43,tv,"Action, Adult Cast, Fantasy, Isekai",Best Isekai Anime,False
Tensei shitara Slime Datta Ken,https://cdn.myanimelist.net/images/anime/1069/123309l.webp,8.14,tv,"Action, Comedy, Fantasy, Isekai, Reincarnation, Shounen",Best Isekai Anime,False
Yubisaki to Renren,https://cdn.myanimelist.net/images/anime/1478/140828l.webp,8.21,tv,"Adult Cast, Romance, Shoujo",Best Drama,False
Dead Dead Demons Dededede Destruction,https://cdn.myanimelist.net/images/anime/1848/140442l.webp,7.53,movie,"Drama, School, Sci-Fi, Seinen",Best Drama,False
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Drama,True
[Oshi no Ko] 2nd Season,https://cdn.myanimelist.net/images/anime/1006/143302l.webp,8.57,tv,"Drama, Reincarnation, Seinen, Showbiz",Best Drama,False
Pluto,https://cdn.myanimelist.net/images/anime/1021/138568l.webp,8.45,ona,"Action, Detective, Mystery, Psychological, Sci-Fi, Seinen, Suspense",Best Drama,False
Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033l.jpg,8.87,tv,"Drama, Historical, Medical, Mystery",Best Drama,False
Yubisaki to Renren,https://cdn.myanimelist.net/images/anime/1478/140828l.webp,8.21,tv,"Adult Cast, Romance, Shoujo",Best Romance,False
Ao no Hako,https://cdn.myanimelist.net/images/anime/1496/147108l.webp,8.22,tv,"Love Polygon, Romance, School, Shounen, Sports, Team Sports",Best Romance,True
Make Heroine ga Oosugiru!,https://cdn.myanimelist.net/images/anime/1332/143513l.webp,8.12,tv,"Comedy, Romance, School",Best Romance,False
Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,https://cdn.myanimelist.net/images/anime/13/76023l.webp,7.23,movie,"Adventure, Comedy, Magical Sex Shift, Shounen",Best Romance,False
Hayate no Gotoku! Can't Take My Eyes Off You,https://cdn.myanimelist.net/images/anime/10/73952l.webp,7.03,tv,"Comedy, Harem, Parody, Romance, Shounen",Best Romance,False
Boku no Kokoro no Yabai Yatsu 2nd Season,https://cdn.myanimelist.net/images/anime/1643/138581l.webp,8.75,tv,"Comedy, Romance, School, Shounen",Best Romance,False
Yuru Camp△ Season 3,https://cdn.myanimelist.net/images/anime/1178/142710l.webp,8.02,tv,"CGDCT, Iyashikei, Slice of Life",Best Slice of Life,False
Make Heroine ga Oosugiru!,https://cdn.myanimelist.net/images/anime/1332/143513l.webp,8.12,tv,"Comedy, Romance, School",Best Slice of Life,True
Kyuujitsu no Warumono-san,https://cdn.myanimelist.net/images/anime/1124/138750l.webp,7.25,tv,"Fantasy, Iyashikei, Slice of Life, Urban Fantasy",Best Slice of Life,False
Shikanoko Nokonoko Koshitantan,https://cdn.myanimelist.net/images/anime/1094/143324l.jpg,6.99,tv,"Comedy, Gag Humor, School, Shounen",Best Slice of Life,False
Hibike! Euphonium 3,https://cdn.myanimelist.net/images/anime/1216/142086l.webp,8.72,tv,"Drama, Music, School",Best Slice of Life,False
Boku no Kokoro no Yabai Yatsu 2nd Season,https://cdn.myanimelist.net/images/anime/1643/138581l.webp,8.75,tv,"Comedy, Romance, School, Shounen",Best Slice of Life,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Animation,False
Dungeon Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.webp,8.6,tv,"Adventure, Comedy, Fantasy, Gourmet, Seinen",Best Animation,False
Kimetsu no Yaiba: Hashira Geiko-hen,https://cdn.myanimelist.net/images/anime/1565/142711l.webp,8.09,tv,"Action, Historical, Shounen, Supernatural",Best Animation,True
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Animation,False
Kaijuu 8-gou Movie,https://cdn.myanimelist.net/images/anime/1127/146604l.webp,6.94,movie,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Shounen, Urban Fantasy",Best Animation,False
Ore dake Level Up na Ken,https://cdn.myanimelist.net/images/anime/1801/142390l.jpg,8.27,tv,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",Best Animation,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Background Art,False
Dungeon Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.webp,8.6,tv,"Adventure, Comedy, Fantasy, Gourmet, Seinen",Best Background Art,False
Kimetsu no Yaiba: Hashira Geiko-hen,https://cdn.myanimelist.net/images/anime/1565/142711l.webp,8.09,tv,"Action, Historical, Shounen, Supernatural",Best Background Art,False
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Background Art,True
Pluto,https://cdn.myanimelist.net/images/anime/1021/138568l.webp,8.45,ona,"Action, Detective, Mystery, Psychological, Sci-Fi, Seinen, Suspense",Best Background Art,False
Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033l.jpg,8.87,tv,"Drama, Historical, Medical, Mystery",Best Background Art,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Character Design,True
Dungeon Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.webp,8.6,tv,"Adventure, Comedy, Fantasy, Gourmet, Seinen",Best Character Design,False
Kimetsu no Yaiba: Hashira Geiko-hen,https://cdn.myanimelist.net/images/anime/1565/142711l.webp,8.09,tv,"Action, Historical, Shounen, Supernatural",Best Character Design,False
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Character Design,False
Kaijuu 8-gou Movie,https://cdn.myanimelist.net/images/anime/1127/146604l.webp,6.94,movie,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Shounen, Urban Fantasy",Best Character Design,False
Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033l.jpg,8.87,tv,"Drama, Historical, Medical, Mystery",Best Character Design,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Director,False
Kimetsu no Yaiba: Hashira Geiko-hen,https://cdn.myanimelist.net/images/anime/1565/142711l.webp,8.09,tv,"Action, Historical, Shounen, Supernatural",Best Director,False
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Director,True
One Piece Film: Z,https://cdn.myanimelist.net/images/anime/6/44297l.webp,8.11,movie,"Action, Adventure, Fantasy, Shounen",Best Director,False
Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033l.jpg,8.87,tv,"Drama, Historical, Medical, Mystery",Best Director,False
Dungeon Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.webp,8.6,tv,"Adventure, Comedy, Fantasy, Gourmet, Seinen",Best Director,False
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Main Character,False
Kaijuu 8-gou Movie,https://cdn.myanimelist.net/images/anime/1127/146604l.webp,6.94,movie,"Action, Adult Cast, Fantasy, Military, Sci-Fi, Shounen, Urban Fantasy",Best Main Character,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Main Character,False
Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033l.jpg,8.87,tv,"Drama, Historical, Medical, Mystery",Best Main Character,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Main Character,False
Ore dake Level Up na Ken,https://cdn.myanimelist.net/images/anime/1801/142390l.jpg,8.27,tv,"Action, Adult Cast, Adventure, Fantasy, Urban Fantasy",Best Main Character,True
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Supporting Character,True
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Best Supporting Character,False
Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033l.jpg,8.87,tv,"Drama, Historical, Medical, Mystery",Best Supporting Character,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Supporting Character,False
Dungeon Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.webp,8.6,tv,"Adventure, Comedy, Fantasy, Gourmet, Seinen",Best Supporting Character,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Best Supporting Character,False
Spy x Family Season 2,https://cdn.myanimelist.net/images/anime/1506/138982l.webp,8.06,tv,"Action, Childcare, Comedy, Shounen, Super Power",Must Protect At All Costs Character,True
Sousou no Frieren,https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,9.3,tv,"Adventure, Drama, Fantasy, Shounen",Must Protect At All Costs Character,False
Dandadan 2nd Season,https://cdn.myanimelist.net/images/anime/1721/149001l.webp,N/A,tv,"Action, Comedy, Shounen, Supernatural",Must Protect At All Costs Character,False
Dungeon Meshi,https://cdn.myanimelist.net/images/anime/1711/142478l.webp,8.6,tv,"Adventure, Comedy, Fantasy, Gourmet, Seinen",Must Protect At All Costs Character,False
Nige Jouzu no Wakagimi,https://cdn.myanimelist.net/images/anime/1386/140401l.webp,7.8,tv,"Adventure, Comedy, Historical, Samurai, Shounen",Must Protect At All Costs Character,False
