image,title,start_date,genres,num_list_users,media_type,mean
https://cdn.myanimelist.net/images/anime/1015/138006l.jpg,Frieren: Beyond Journey's End,2023-09-29,"Adventure, Drama, Fantasy, Shounen",1119295,tv,9.3
https://cdn.myanimelist.net/images/anime/1708/138033l.webp,The Apothecary Diaries,2023-10-22,"Drama, Historical, Medical, Mystery",634601,tv,8.87
https://cdn.myanimelist.net/images/anime/1170/124312l.jpg,Vinland Saga Season 2,2023-01-10,"Action, Adventure, Drama, Gore, Historical, Seinen",745955,tv,8.81
https://cdn.myanimelist.net/images/anime/1792/138022l.webp,Jujutsu Kaisen Season 2,2023-07-06,"Action, Gore, School, Shounen, Supernatural",1190879,tv,8.75
https://cdn.myanimelist.net/images/anime/1164/138058l.webp,Bleach: Thousand-Year Blood War - The Separation,2023-07-08,"Action, Adventure, Shounen, Supernatural",357668,tv,8.7
https://cdn.myanimelist.net/images/anime/1161/136691l.jpg,Bungo Stray Dogs 5,2023-07-12,"Action, Adult Cast, Detective, Mystery, Organized Crime, Seinen, Super Power, Vampire",228094,tv,8.62
https://cdn.myanimelist.net/images/anime/1812/134736l.webp,[Oshi No Ko],2023-04-12,"Award Winning, Drama, Reincarnation, Seinen, Showbiz",949182,tv,8.58
https://cdn.myanimelist.net/images/anime/1263/132759l.jpg,Bungo Stray Dogs 4,2023-01-04,"Action, Adult Cast, Detective, Mystery, Organized Crime, Seinen, Super Power",331309,tv,8.43
https://cdn.myanimelist.net/images/anime/1236/138696l.jpg,Dr. Stone: New World Part 2,2023-10-12,"Adventure, Comedy, Sci-Fi, Shounen",362092,tv,8.32
https://cdn.myanimelist.net/images/anime/1938/138295l.jpg,The Eminence in Shadow Season 2,2023-10-04,"Action, Comedy, Fantasy, Isekai, Reincarnation",466123,tv,8.29
https://cdn.myanimelist.net/images/anime/1476/128693l.webp,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV Part 2,2023-01-07,"Action, Adventure, Fantasy",267875,tv,8.25
https://cdn.myanimelist.net/images/anime/1891/136948l.jpg,BanG Dream! It's MyGO!!!!!,2023-06-29,"Drama, Music",34646,tv,8.24
https://cdn.myanimelist.net/images/anime/1545/133887l.webp,The Dangers in My Heart,2023-04-02,"Comedy, Romance, School, Shounen",386101,tv,8.23
https://cdn.myanimelist.net/images/anime/1898/138005l.webp,Mushoku Tensei: Jobless Reincarnation Season 2,2023-07-10,"Adventure, Drama, Ecchi, Fantasy, Isekai, Reincarnation",675912,tv,8.22
https://cdn.myanimelist.net/images/anime/1121/133132l.webp,Heavenly Delusion,2023-04-01,"Adventure, Mystery, Sci-Fi, Seinen",569842,tv,8.21
https://cdn.myanimelist.net/images/anime/1765/135099l.webp,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,2023-04-09,"Action, Historical, Shounen, Supernatural",985385,tv,8.19
https://cdn.myanimelist.net/images/anime/1316/136268l.jpg,Dr. Stone: New World,2023-04-06,"Adventure, Comedy, Sci-Fi, Shounen",540584,tv,8.15
https://cdn.myanimelist.net/images/anime/1007/136277l.jpg,Horimiya: The Missing Pieces,2023-07-01,"Romance, School, Shounen",403814,tv,8.15
https://cdn.myanimelist.net/images/anime/1518/138730l.webp,Skip and Loafer,2023-04-04,"Drama, School, Seinen",312287,tv,8.12
https://cdn.myanimelist.net/images/anime/1553/133767l.jpg,Buddy Daddies,2023-01-07,"Action, Childcare, Comedy, Organized Crime",321464,tv,8.11
https://cdn.myanimelist.net/images/anime/1500/139931l.jpg,Shangri-La Frontier,2023-10-01,"Action, Adventure, Fantasy, Shounen, Video Game",394427,tv,8.1
https://cdn.myanimelist.net/images/anime/1075/131925l.webp,Hell's Paradise,2023-04-01,"Action, Adventure, Gore, Historical, Samurai, Shounen, Supernatural",821444,tv,8.09
https://cdn.myanimelist.net/images/anime/1803/132337l.webp,Tsurune - The Linking Shot -,2023-01-05,"School, Sports",64070,tv,8.09
https://cdn.myanimelist.net/images/anime/1402/134007l.webp,Insomniacs After School,2023-04-11,"Romance, School, Seinen",249603,tv,8.07
https://cdn.myanimelist.net/images/anime/1506/138982l.jpg,Spy x Family Season 2,2023-10-07,"Action, Childcare, Comedy, Shounen, Super Power",590727,tv,8.06
https://cdn.myanimelist.net/images/anime/1397/133339l.jpg,Sacrificial Princess and the King of Beasts,2023-04-20,"Anthropomorphic, Fantasy, Romance, Shoujo",91584,tv,7.93
https://cdn.myanimelist.net/images/anime/1630/138388l.jpg,My New Boss Is Goofy,2023-10-07,"Adult Cast, Iyashikei, Slice of Life, Workplace",65678,tv,7.92
https://cdn.myanimelist.net/images/anime/1023/134768l.jpg,Mobile Suit Gundam: The Witch from Mercury Season 2,2023-04-09,"Action, Mecha, School, Sci-Fi, Space",101692,tv,7.9
https://cdn.myanimelist.net/images/anime/1518/136823l.webp,The Ancient Magus' Bride Season 2 Part 2,2023-10-05,"Drama, Fantasy, Mythology, Romance, School, Shounen, Urban Fantasy",111050,tv,7.9
https://cdn.myanimelist.net/images/anime/1194/138253l.jpg,The Yuzuki Family's Four Sons,2023-10-05,"School, Shoujo, Slice of Life",67061,tv,7.88
https://cdn.myanimelist.net/images/anime/1946/136661l.webp,Undead Murder Farce,2023-07-06,"Adult Cast, Detective, Fantasy, Historical, Mystery, Urban Fantasy, Vampire",171004,tv,7.86
https://cdn.myanimelist.net/images/anime/1240/133638l.webp,The Angel Next Door Spoils Me Rotten,2023-01-07,"Romance, School",379136,tv,7.84
https://cdn.myanimelist.net/images/anime/1346/138731l.jpg,Dark Gathering,2023-07-10,"Gore, Horror, Shounen, Supernatural",167389,tv,7.84
https://cdn.myanimelist.net/images/anime/1426/129194l.webp,Trigun Stampede,2023-01-07,"Action, Adult Cast, Adventure, Sci-Fi, Shounen",212306,tv,7.83
https://cdn.myanimelist.net/images/anime/1853/139843l.jpg,Tokyo Revengers: Tenjiku Arc,2023-10-04,"Action, Delinquents, Drama, Shounen, Time Travel",242767,tv,7.82
https://cdn.myanimelist.net/images/anime/1298/134178l.webp,My Love Story with Yamada-kun at Lv999,2023-04-02,"Romance, Video Game",487093,tv,7.78
https://cdn.myanimelist.net/images/anime/1136/138410l.webp,Undead Unluck,2023-10-07,"Action, Comedy, Shounen, Super Power",315109,tv,7.76
https://cdn.myanimelist.net/images/anime/1532/135155l.webp,The Ancient Magus' Bride Season 2,2023-04-06,"Drama, Fantasy, Mythology, Romance, School, Shounen, Urban Fantasy",203679,tv,7.76
https://cdn.myanimelist.net/images/anime/1444/131828l.jpg,Tomo-chan Is a Girl!,2023-01-05,"Comedy, Romance, School",461369,tv,7.74
https://cdn.myanimelist.net/images/anime/1384/136408l.jpg,Zom 100: Bucket List of the Dead,2023-07-09,"Adult Cast, Comedy, Seinen, Survival, Suspense",622689,tv,7.74
https://cdn.myanimelist.net/images/anime/1812/136764l.webp,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",2023-10-08,"Comedy, Harem, Parody, Romance, School, Seinen",287308,tv,7.71
https://cdn.myanimelist.net/images/anime/1845/134817l.webp,Migi & Dali,2023-10-02,"Comedy, Mystery, Seinen, Suspense",93706,tv,7.71
https://cdn.myanimelist.net/images/anime/1147/122444l.jpg,My Happy Marriage,2023-07-05,"Adult Cast, Drama, Fantasy, Historical, Romance",344665,tv,7.71
https://cdn.myanimelist.net/images/anime/1875/133377l.jpg,The iDOLM@STER Cinderella Girls: U149,2023-04-06,"Idols (Female), Music, Slice of Life",17632,tv,7.69
https://cdn.myanimelist.net/images/anime/1058/131632l.webp,Onimai: I'm Now Your Sister!,2023-01-05,"CGDCT, Comedy, Magical Sex Shift, School, Shounen",171766,tv,7.65
https://cdn.myanimelist.net/images/anime/1693/138042l.webp,Sugar Apple Fairy Tale Part 2,2023-07-07,"Adventure, Drama, Fantasy, Romance, Shoujo, Visual Arts",71235,tv,7.65
https://cdn.myanimelist.net/images/anime/1661/131889l.webp,Campfire Cooking in Another World with My Absurd Skill,2023-01-11,"Adventure, Comedy, Fantasy, Gourmet, Isekai",282449,tv,7.65
https://cdn.myanimelist.net/images/anime/1074/136720l.jpg,The Masterful Cat Is Depressed Again Today,2023-07-08,"Adult Cast, Anthropomorphic, Comedy",117843,tv,7.64
https://cdn.myanimelist.net/images/anime/1773/132313l.webp,Tokyo Revengers: Christmas Showdown,2023-01-08,"Action, Delinquents, Drama, Shounen, Time Travel",399346,tv,7.63
https://cdn.myanimelist.net/images/anime/1218/135107l.jpg,Mashle: Magic and Muscles,2023-04-08,"Action, Comedy, Fantasy, Gag Humor, Parody, School, Shounen",701141,tv,7.62
